Addresses,B113.2,IPMC-301.3,IPMC-302.4,IPMC-304.7,IPMC-308.1,PM-301.3,Zombie
101 LEONARD,0,1,0,0,0,0,1
103 WEYAND,0,1,1,1,1,0,1
106 TREEHAVEN,0,1,1,1,1,0,1
110 FAY,0,1,0,0,1,0,1
112 NORMAN,0,1,1,1,0,0,1
115 KAMPER,0,1,1,0,1,0,1
117 HOWELL,0,1,1,1,1,0,1
118 CENTRAL,0,1,1,1,1,0,1
1230 KENSINGTON,0,1,0,1,1,0,1
124 WEAVER,0,1,1,0,1,0,1
125 ECKHERT,1,0,1,1,0,0,1
13 GEARY,0,1,1,1,1,0,1
133 GILBERT,0,1,1,1,1,0,1
140 DARTMOUTH,0,1,1,0,1,0,1
141 PARKRIDGE,0,1,0,0,1,0,1
145 CROWLEY,1,0,0,1,0,0,1
148 ROMA,0,1,1,0,0,0,1
15 ROBINS,0,1,0,0,1,0,1
151 DARTMOUTH,0,1,0,1,1,0,1
156 THEODORE,0,1,1,0,1,0,1
168 HAZELWOOD,0,1,1,0,0,0,1
181 WESTMINSTER,0,1,0,1,1,0,1
191 ROSLYN,0,1,0,1,0,0,1
195 TACOMA,0,1,1,1,1,0,1
197 GOULDING,0,1,1,1,1,0,1
2 NAVAHO,0,1,0,0,1,0,1
20 FOLGER,0,1,1,1,1,0,1
210 CONDON,0,1,0,1,1,0,1
210 ROSLYN,0,1,0,1,1,0,1
222 SMITH,0,1,1,1,1,0,1
24 COURTLAND,0,1,0,1,0,0,1
24 WILBURY,0,1,1,0,1,0,1
251 MERRIMAC,0,1,1,0,0,0,1
256 BENZINGER,0,1,1,1,1,0,1
26 WEISS,0,1,1,1,0,1,1
266 WILLETT,0,1,1,0,0,0,1
27 GODFREY,0,1,1,0,1,0,1
277 DELAVAN WEST,0,1,0,1,0,0,1
282 CRESTWOOD,0,1,1,0,1,0,1
290 BEDFORD,0,1,0,1,0,0,1
293 HIGHGATE,0,1,1,0,1,0,1
31 PARKVIEW,0,1,1,1,0,0,1
